seq_coast_tube_id,success,sample,tree,sample_type,lat,lon,distance_from_edge,distance_from_fence,fenced,fwd_filepath,rev_filepath,sra_latlon
1,SUCCESSFUL,epi_blank_2,NA,epiphyte,NA,NA,NA,NA,NA,./Data/Raw/4539_1_S1_R1_001.fastq.gz,./Data/Raw/4539_1_S1_R2_001.fastq.gz,NA
10,SUCCESSFUL,end_a29,a29,endophyte,38.52161,-111.75378,97.0660429475422,171.270414777895,NA,./Data/Raw/4539_10_S10_R1_001.fastq.gz,./Data/Raw/4539_10_S10_R2_001.fastq.gz,38.52161 N 111.75378 W
100,SUCCESSFUL,epi_f2,f2,epiphyte,38.52285,-111.7495,51.9404774546058,20.2051708865723,NA,./Data/Raw/4539_100_S100_R1_001.fastq.gz,./Data/Raw/4539_100_S100_R2_001.fastq.gz,38.52285 N 111.7495 W
101,SUCCESSFUL,epi_b5,b5,epiphyte,38.52755,-111.74496,46.7718382573299,124.871406991902,NA,./Data/Raw/4539_101_S101_R1_001.fastq.gz,./Data/Raw/4539_101_S101_R2_001.fastq.gz,38.52755 N 111.74496 W
102,SUCCESSFUL,epi_c6,c6,epiphyte,38.52699,-111.74737,123.233973572566,4.76025469361844,NA,./Data/Raw/4539_102_S102_R1_001.fastq.gz,./Data/Raw/4539_102_S102_R2_001.fastq.gz,38.52699 N 111.74737 W
104,SUCCESSFUL,epi_d4,d4,epiphyte,38.52588,-111.74762,98.3786450803501,36.5219612755618,NA,./Data/Raw/4539_104_S104_R1_001.fastq.gz,./Data/Raw/4539_104_S104_R2_001.fastq.gz,38.52588 N 111.74762 W
105,SUCCESSFUL,epi_e1,e1,epiphyte,38.52361,-111.74828,13.9356387439773,10.0517518352539,NA,./Data/Raw/4539_105_S105_R1_001.fastq.gz,./Data/Raw/4539_105_S105_R2_001.fastq.gz,38.52361 N 111.74828 W
106,SUCCESSFUL,epi_k4,k4,epiphyte,38.52971,-111.74688,6.49072389847444,245.533780147013,NA,./Data/Raw/4539_106_S106_R1_001.fastq.gz,./Data/Raw/4539_106_S106_R2_001.fastq.gz,38.52971 N 111.74688 W
107,SUCCESSFUL,epi_a22,a22,epiphyte,38.52383,-111.75158,60.2627450636108,46.022202034977,NA,./Data/Raw/4539_107_S107_R1_001.fastq.gz,./Data/Raw/4539_107_S107_R2_001.fastq.gz,38.52383 N 111.75158 W
108,FAILED,epi_j5,j5,epiphyte,38.52583,-111.75126,106.770661918765,142.641017466929,NA,./Data/Raw/4539_108_S108_R1_001.fastq.gz,./Data/Raw/4539_108_S108_R2_001.fastq.gz,38.52583 N 111.75126 W
109,SUCCESSFUL,epi_e4,e4,epiphyte,38.52377,-111.74941,110.257524525243,54.4276971070293,NA,./Data/Raw/4539_109_S109_R1_001.fastq.gz,./Data/Raw/4539_109_S109_R2_001.fastq.gz,38.52377 N 111.74941 W
11,SUCCESSFUL,end_d2,d2,endophyte,38.52595,-111.7478,115.285717655604,19.9451269036638,NA,./Data/Raw/4539_11_S11_R1_001.fastq.gz,./Data/Raw/4539_11_S11_R2_001.fastq.gz,38.52595 N 111.7478 W
110,SUCCESSFUL,epi_a21,a21,epiphyte,38.5241,-111.75113,103.303171826823,46.4270191245313,NA,./Data/Raw/4539_110_S110_R1_001.fastq.gz,./Data/Raw/4539_110_S110_R2_001.fastq.gz,38.5241 N 111.75113 W
111,FAILED,epi_d1,d1,epiphyte,38.52608,-111.74794,133.886382625201,6.12499082836142,NA,./Data/Raw/4539_111_S111_R1_001.fastq.gz,./Data/Raw/4539_111_S111_R2_001.fastq.gz,38.52608 N 111.74794 W
112,SUCCESSFUL,epi_c2,c2,epiphyte,38.5266,-111.74606,34.8561664634997,16.3415843363593,NA,./Data/Raw/4539_112_S112_R1_001.fastq.gz,./Data/Raw/4539_112_S112_R2_001.fastq.gz,38.5266 N 111.74606 W
113,SUCCESSFUL,epi_b3,b3,epiphyte,38.52745,-111.74618,50.8407830826581,46.8147222866106,NA,./Data/Raw/4539_113_S113_R1_001.fastq.gz,./Data/Raw/4539_113_S113_R2_001.fastq.gz,38.52745 N 111.74618 W
114,SUCCESSFUL,epi_a14,a14,epiphyte,38.52655,-111.74905,125.172318318325,70.2642932871932,NA,./Data/Raw/4539_114_S114_R1_001.fastq.gz,./Data/Raw/4539_114_S114_R2_001.fastq.gz,38.52655 N 111.74905 W
115,SUCCESSFUL,epi_c1,c1,epiphyte,38.5273,-111.74474,13.5031208669967,117.585310883744,NA,./Data/Raw/4539_115_S115_R1_001.fastq.gz,./Data/Raw/4539_115_S115_R2_001.fastq.gz,38.5273 N 111.74474 W
116,SUCCESSFUL,epi_g6,g6,epiphyte,38.52432,-111.75298,3.59730080443423,8.29763588846612,NA,./Data/Raw/4539_116_S116_R1_001.fastq.gz,./Data/Raw/4539_116_S116_R2_001.fastq.gz,38.52432 N 111.75298 W
117,SUCCESSFUL,epi_e6,e6,epiphyte,38.52402,-111.7499,155.030985031787,4.5346998035262,NA,./Data/Raw/4539_117_S117_R1_001.fastq.gz,./Data/Raw/4539_117_S117_R2_001.fastq.gz,38.52402 N 111.7499 W
118,FAILED,epi_a12,a12,epiphyte,38.52712,-111.74876,84.9539770528876,22.8920659435235,NA,./Data/Raw/4539_118_S118_R1_001.fastq.gz,./Data/Raw/4539_118_S118_R2_001.fastq.gz,38.52712 N 111.74876 W
119,SUCCESSFUL,end_a12,a12,endophyte,38.52712,-111.74876,84.9539770528876,22.8920659435235,NA,./Data/Raw/4539_119_S119_R1_001.fastq.gz,./Data/Raw/4539_119_S119_R2_001.fastq.gz,38.52712 N 111.74876 W
12,SUCCESSFUL,end_j10,j10,endophyte,38.52538,-111.74939,192.998321947743,33.7561327261879,NA,./Data/Raw/4539_12_S12_R1_001.fastq.gz,./Data/Raw/4539_12_S12_R2_001.fastq.gz,38.52538 N 111.74939 W
121,SUCCESSFUL,epi_a15,a15,epiphyte,38.52631,-111.74897,152.738137499474,54.328151069016,NA,./Data/Raw/4539_121_S121_R1_001.fastq.gz,./Data/Raw/4539_121_S121_R2_001.fastq.gz,38.52631 N 111.74897 W
122,SUCCESSFUL,epi_b4,b4,epiphyte,38.52747,-111.74536,36.9718859748203,94.1812925094326,NA,./Data/Raw/4539_122_S122_R1_001.fastq.gz,./Data/Raw/4539_122_S122_R2_001.fastq.gz,38.52747 N 111.74536 W
123,SUCCESSFUL,epi_a16,a16,epiphyte,38.52597,-111.74899,188.752268159185,38.5971302822917,NA,./Data/Raw/4539_123_S123_R1_001.fastq.gz,./Data/Raw/4539_123_S123_R2_001.fastq.gz,38.52597 N 111.74899 W
124,SUCCESSFUL,epi_d6,d6,epiphyte,38.52564,-111.74675,20.4493937478916,22.100926710416,NA,./Data/Raw/4539_124_S124_R1_001.fastq.gz,./Data/Raw/4539_124_S124_R2_001.fastq.gz,38.52564 N 111.74675 W
125,FAILED,epi_a1,a1,epiphyte,38.52928,-111.74569,1.34839380661979,230.707364710865,NA,./Data/Raw/4539_125_S125_R1_001.fastq.gz,./Data/Raw/4539_125_S125_R2_001.fastq.gz,38.52928 N 111.74569 W
126,SUCCESSFUL,epi_c4,c4,epiphyte,38.52653,-111.74684,81.2703392623411,66.9697332242169,NA,./Data/Raw/4539_126_S126_R1_001.fastq.gz,./Data/Raw/4539_126_S126_R2_001.fastq.gz,38.52653 N 111.74684 W
127,SUCCESSFUL,epi_f5,f5,epiphyte,38.52351,-111.75066,129.753511147315,25.1049818864537,NA,./Data/Raw/4539_127_S127_R1_001.fastq.gz,./Data/Raw/4539_127_S127_R2_001.fastq.gz,38.52351 N 111.75066 W
128,SUCCESSFUL,epi_b1,b1,epiphyte,38.52785,-111.74683,84.0066659502382,43.4482280796851,NA,./Data/Raw/4539_128_S128_R1_001.fastq.gz,./Data/Raw/4539_128_S128_R2_001.fastq.gz,38.52785 N 111.74683 W
129,SUCCESSFUL,end_e5,e5,endophyte,38.52389,-111.74969,135.087422589326,27.8234721321091,NA,./Data/Raw/4539_129_S129_R1_001.fastq.gz,./Data/Raw/4539_129_S129_R2_001.fastq.gz,38.52389 N 111.74969 W
130,SUCCESSFUL,epi_f6,f6,epiphyte,38.52357,-111.75073,134.872370820891,20.217551041332,NA,./Data/Raw/4539_130_S130_R1_001.fastq.gz,./Data/Raw/4539_130_S130_R2_001.fastq.gz,38.52357 N 111.75073 W
131,SUCCESSFUL,end_f4,f4,endophyte,38.52332,-111.75043,101.805125460274,27.8641700219766,NA,./Data/Raw/4539_131_S131_R1_001.fastq.gz,./Data/Raw/4539_131_S131_R2_001.fastq.gz,38.52332 N 111.75043 W
132,SUCCESSFUL,end_j8,j8,endophyte,38.52533,-111.7501,221.855199071618,84.9684719835822,NA,./Data/Raw/4539_132_S132_R1_001.fastq.gz,./Data/Raw/4539_132_S132_R2_001.fastq.gz,38.52533 N 111.7501 W
133,SUCCESSFUL,end_b2,b2,endophyte,38.52767,-111.74645,70.2919423831755,48.3499341281835,NA,./Data/Raw/4539_133_S133_R1_001.fastq.gz,./Data/Raw/4539_133_S133_R2_001.fastq.gz,38.52767 N 111.74645 W
134,WEAK,epi_k2,k2,epiphyte,38.52954,-111.74617,6.80631899890538,239.345057895359,NA,./Data/Raw/4539_134_S134_R1_001.fastq.gz,./Data/Raw/4539_134_S134_R2_001.fastq.gz,38.52954 N 111.74617 W
135,SUCCESSFUL,end_a10,a10,endophyte,38.52759,-111.74859,75.1108907027941,29.4965063809969,NA,./Data/Raw/4539_135_S135_R1_001.fastq.gz,./Data/Raw/4539_135_S135_R2_001.fastq.gz,38.52759 N 111.74859 W
136,SUCCESSFUL,epi_b2,b2,epiphyte,38.52767,-111.74645,70.2919423831755,48.3499341281835,NA,./Data/Raw/4539_136_S136_R1_001.fastq.gz,./Data/Raw/4539_136_S136_R2_001.fastq.gz,38.52767 N 111.74645 W
137,SUCCESSFUL,end_a2,a2,endophyte,38.52917,-111.7458,16.7734107541774,215.310747709285,NA,./Data/Raw/4539_137_S137_R1_001.fastq.gz,./Data/Raw/4539_137_S137_R2_001.fastq.gz,38.52917 N 111.7458 W
139,SUCCESSFUL,end_a6,a6,endophyte,38.52836,-111.74717,65.2059261963707,94.770005547821,NA,./Data/Raw/4539_139_S139_R1_001.fastq.gz,./Data/Raw/4539_139_S139_R2_001.fastq.gz,38.52836 N 111.74717 W
14,SUCCESSFUL,end_a17,a17,endophyte,38.5255,-111.74918,188.498044241749,28.2696800217646,NA,./Data/Raw/4539_14_S14_R1_001.fastq.gz,./Data/Raw/4539_14_S14_R2_001.fastq.gz,38.5255 N 111.74918 W
141,SUCCESSFUL,end_g6,g6,endophyte,38.52432,-111.75298,3.59730080443423,8.29763588846612,NA,./Data/Raw/4539_141_S141_R1_001.fastq.gz,./Data/Raw/4539_141_S141_R2_001.fastq.gz,38.52432 N 111.75298 W
142,SUCCESSFUL,end_e3,e3,endophyte,38.52375,-111.74891,66.7138146874101,65.4895254641454,NA,./Data/Raw/4539_142_S142_R1_001.fastq.gz,./Data/Raw/4539_142_S142_R2_001.fastq.gz,38.52375 N 111.74891 W
143,SUCCESSFUL,end_k4,k4,endophyte,38.52971,-111.74688,6.49072389847444,245.533780147013,NA,./Data/Raw/4539_143_S143_R1_001.fastq.gz,./Data/Raw/4539_143_S143_R2_001.fastq.gz,38.52971 N 111.74688 W
144,SUCCESSFUL,end_a19,a19,endophyte,38.52452,-111.75043,175.564410840518,41.7770457642432,NA,./Data/Raw/4539_144_S144_R1_001.fastq.gz,./Data/Raw/4539_144_S144_R2_001.fastq.gz,38.52452 N 111.75043 W
145,SUCCESSFUL,end_e1,e1,endophyte,38.52361,-111.74828,13.9356387439773,10.0517518352539,NA,./Data/Raw/4539_145_S145_R1_001.fastq.gz,./Data/Raw/4539_145_S145_R2_001.fastq.gz,38.52361 N 111.74828 W
146,SUCCESSFUL,end_c2,c2,endophyte,38.5266,-111.74606,34.8561664634997,16.3415843363593,NA,./Data/Raw/4539_146_S146_R1_001.fastq.gz,./Data/Raw/4539_146_S146_R2_001.fastq.gz,38.5266 N 111.74606 W
147,SUCCESSFUL,end_b6,b6,endophyte,38.5273,-111.74474,13.5031208669967,117.585310883744,NA,./Data/Raw/4539_147_S147_R1_001.fastq.gz,./Data/Raw/4539_147_S147_R2_001.fastq.gz,38.5273 N 111.74474 W
148,SUCCESSFUL,end_a8,a8,endophyte,38.52819,-111.74794,98.7336176196354,104.043319682313,NA,./Data/Raw/4539_148_S148_R1_001.fastq.gz,./Data/Raw/4539_148_S148_R2_001.fastq.gz,38.52819 N 111.74794 W
149,WEAK,end_blank_2,NA,endophyte,NA,NA,NA,NA,NA,./Data/Raw/4539_149_S149_R1_001.fastq.gz,./Data/Raw/4539_149_S149_R2_001.fastq.gz,NA
15,SUCCESSFUL,epi_a13,a13,epiphyte,38.5268,-111.74903,99.8170960195759,56.5833477183092,NA,./Data/Raw/4539_15_S96_R1_001.fastq.gz,./Data/Raw/4539_15_S96_R2_001.fastq.gz,38.5268 N 111.74903 W
150,SUCCESSFUL,end_i3,i3,endophyte,38.52399,-111.75126,90.3256336197081,44.1858777445491,NA,./Data/Raw/4539_150_S150_R1_001.fastq.gz,./Data/Raw/4539_150_S150_R2_001.fastq.gz,38.52399 N 111.75126 W
151,SUCCESSFUL,end_k3,k3,endophyte,38.5296,-111.74644,3.84792613768378,239.166820910635,NA,./Data/Raw/4539_151_S151_R1_001.fastq.gz,./Data/Raw/4539_151_S151_R2_001.fastq.gz,38.5296 N 111.74644 W
152,SUCCESSFUL,end_a15,a15,endophyte,38.52631,-111.74897,152.738137499474,54.328151069016,NA,./Data/Raw/4539_152_S152_R1_001.fastq.gz,./Data/Raw/4539_152_S152_R2_001.fastq.gz,38.52631 N 111.74897 W
153,SUCCESSFUL,end_c6,c6,endophyte,38.52699,-111.74737,123.233973572566,4.76025469361844,NA,./Data/Raw/4539_153_S153_R1_001.fastq.gz,./Data/Raw/4539_153_S153_R2_001.fastq.gz,38.52699 N 111.74737 W
154,SUCCESSFUL,end_e6,e6,endophyte,38.52402,-111.7499,155.030985031787,4.5346998035262,NA,./Data/Raw/4539_154_S154_R1_001.fastq.gz,./Data/Raw/4539_154_S154_R2_001.fastq.gz,38.52402 N 111.7499 W
155,WEAK,end_blank_1,NA,endophyte,NA,NA,NA,NA,NA,./Data/Raw/4539_155_S155_R1_001.fastq.gz,./Data/Raw/4539_155_S155_R2_001.fastq.gz,NA
156,SUCCESSFUL,end_a16,a16,endophyte,38.52597,-111.74899,188.752268159185,38.5971302822917,NA,./Data/Raw/4539_156_S156_R1_001.fastq.gz,./Data/Raw/4539_156_S156_R2_001.fastq.gz,38.52597 N 111.74899 W
157,SUCCESSFUL,end_g3,g3,endophyte,38.5233,-111.7525,19.5591169452973,28.7095004705053,NA,./Data/Raw/4539_157_S157_R1_001.fastq.gz,./Data/Raw/4539_157_S157_R2_001.fastq.gz,38.5233 N 111.7525 W
159,SUCCESSFUL,end_d6,d6,endophyte,38.52564,-111.74675,20.4493937478916,22.100926710416,NA,./Data/Raw/4539_159_S159_R1_001.fastq.gz,./Data/Raw/4539_159_S159_R2_001.fastq.gz,38.52564 N 111.74675 W
160,SUCCESSFUL,end_j9,j9,endophyte,38.52525,-111.74982,212.548179609938,60.0320600320119,NA,./Data/Raw/4539_160_S160_R1_001.fastq.gz,./Data/Raw/4539_160_S160_R2_001.fastq.gz,38.52525 N 111.74982 W
161,SUCCESSFUL,end_d5,d5,endophyte,38.52576,-111.7471,53.2461121994414,55.2070139714529,NA,./Data/Raw/4539_161_S161_R1_001.fastq.gz,./Data/Raw/4539_161_S161_R2_001.fastq.gz,38.52576 N 111.7471 W
162,SUCCESSFUL,end_j1,j1,endophyte,38.52624,-111.75306,1.78170708342962,2.45801731107087,NA,./Data/Raw/4539_162_S162_R1_001.fastq.gz,./Data/Raw/4539_162_S162_R2_001.fastq.gz,38.52624 N 111.75306 W
164,SUCCESSFUL,end_f5,f5,endophyte,38.52351,-111.75066,129.753511147315,25.1049818864537,NA,./Data/Raw/4539_164_S164_R1_001.fastq.gz,./Data/Raw/4539_164_S164_R2_001.fastq.gz,38.52351 N 111.75066 W
165,SUCCESSFUL,end_a11,a11,endophyte,38.52724,-111.74861,88.125119050915,7.69593777208912,NA,./Data/Raw/4539_165_S165_R1_001.fastq.gz,./Data/Raw/4539_165_S165_R2_001.fastq.gz,38.52724 N 111.74861 W
167,SUCCESSFUL,end_c1,c1,endophyte,38.5273,-111.74474,13.5031208669967,117.585310883744,NA,./Data/Raw/4539_167_S167_R1_001.fastq.gz,./Data/Raw/4539_167_S167_R2_001.fastq.gz,38.5273 N 111.74474 W
168,SUCCESSFUL,end_h4,h4,endophyte,38.52346,-111.75186,37.6717316830122,26.6397480858893,NA,./Data/Raw/4539_168_S168_R1_001.fastq.gz,./Data/Raw/4539_168_S168_R2_001.fastq.gz,38.52346 N 111.75186 W
169,SUCCESSFUL,epi_k1,k1,epiphyte,38.52937,-111.74583,4.29710625419978,233.716848380716,NA,./Data/Raw/4539_169_S169_R1_001.fastq.gz,./Data/Raw/4539_169_S169_R2_001.fastq.gz,38.52937 N 111.74583 W
17,SUCCESSFUL,end_f6,f6,endophyte,38.52357,-111.75073,134.872370820891,20.217551041332,NA,./Data/Raw/4539_17_S16_R1_001.fastq.gz,./Data/Raw/4539_17_S16_R2_001.fastq.gz,38.52357 N 111.75073 W
170,SUCCESSFUL,epi_h6,h6,epiphyte,38.52331,-111.75155,59.80237358207,2.99802621542214,NA,./Data/Raw/4539_170_S170_R1_001.fastq.gz,./Data/Raw/4539_170_S170_R2_001.fastq.gz,38.52331 N 111.75155 W
171,FAILED,epi_f4,f4,epiphyte,38.52332,-111.75043,101.805125460274,27.8641700219766,NA,./Data/Raw/4539_171_S171_R1_001.fastq.gz,./Data/Raw/4539_171_S171_R2_001.fastq.gz,38.52332 N 111.75043 W
172,SUCCESSFUL,epi_c5,c5,epiphyte,38.52682,-111.7472,109.859610109753,26.1772158116232,NA,./Data/Raw/4539_172_S172_R1_001.fastq.gz,./Data/Raw/4539_172_S172_R2_001.fastq.gz,38.52682 N 111.7472 W
173,SUCCESSFUL,epi_a28,a28,epiphyte,38.52147,-111.7535,81.2073463399133,169.257425488198,NA,./Data/Raw/4539_173_S173_R1_001.fastq.gz,./Data/Raw/4539_173_S173_R2_001.fastq.gz,38.52147 N 111.7535 W
174,FAILED,epi_j1,j1,epiphyte,38.52624,-111.75306,1.78170708342962,2.45801731107087,NA,./Data/Raw/4539_174_S174_R1_001.fastq.gz,./Data/Raw/4539_174_S174_R2_001.fastq.gz,38.52624 N 111.75306 W
175,SUCCESSFUL,epi_e5,e5,epiphyte,38.52389,-111.74969,135.087422589326,27.8234721321091,NA,./Data/Raw/4539_175_S175_R1_001.fastq.gz,./Data/Raw/4539_175_S175_R2_001.fastq.gz,38.52389 N 111.74969 W
176,SUCCESSFUL,epi_h4,h4,epiphyte,38.52346,-111.75186,37.6717316830122,26.6397480858893,NA,./Data/Raw/4539_176_S176_R1_001.fastq.gz,./Data/Raw/4539_176_S176_R2_001.fastq.gz,38.52346 N 111.75186 W
177,SUCCESSFUL,epi_g7,g7,epiphyte,38.52478,-111.75275,17.1583133723335,11.0628683798366,NA,./Data/Raw/4539_177_S177_R1_001.fastq.gz,./Data/Raw/4539_177_S177_R2_001.fastq.gz,38.52478 N 111.75275 W
178,WEAK,epi_b6,b6,epiphyte,38.5273,-111.74474,13.5031208669967,117.585310883744,NA,./Data/Raw/4539_178_S178_R1_001.fastq.gz,./Data/Raw/4539_178_S178_R2_001.fastq.gz,38.5273 N 111.74474 W
179,SUCCESSFUL,epi_a3,a3,epiphyte,38.52878,-111.74646,7.41793244265588,151.195399331342,NA,./Data/Raw/4539_179_S179_R1_001.fastq.gz,./Data/Raw/4539_179_S179_R2_001.fastq.gz,38.52878 N 111.74646 W
18,SUCCESSFUL,end_c4,c4,endophyte,38.52653,-111.74684,81.2703392623411,66.9697332242169,NA,./Data/Raw/4539_18_S17_R1_001.fastq.gz,./Data/Raw/4539_18_S17_R2_001.fastq.gz,38.52653 N 111.74684 W
180,FAILED,epi_j3,j3,epiphyte,38.526,-111.75226,32.8533135938851,76.3152746881771,NA,./Data/Raw/4539_180_S180_R1_001.fastq.gz,./Data/Raw/4539_180_S180_R2_001.fastq.gz,38.526 N 111.75226 W
181,SUCCESSFUL,epi_i4,i4,epiphyte,38.52433,-111.75139,90.1200315167614,80.1715024079563,NA,./Data/Raw/4539_181_S181_R1_001.fastq.gz,./Data/Raw/4539_181_S181_R2_001.fastq.gz,38.52433 N 111.75139 W
19,SUCCESSFUL,end_j6,j6,endophyte,38.52568,-111.75092,140.668330951895,165.476105479712,NA,./Data/Raw/4539_19_S18_R1_001.fastq.gz,./Data/Raw/4539_19_S18_R2_001.fastq.gz,38.52568 N 111.75092 W
2,SUCCESSFUL,end_b1,b1,endophyte,38.52785,-111.74683,84.0066659502382,43.4482280796851,NA,./Data/Raw/4539_2_S2_R1_001.fastq.gz,./Data/Raw/4539_2_S2_R2_001.fastq.gz,38.52785 N 111.74683 W
20,SUCCESSFUL,end_g5,g5,endophyte,38.52388,-111.75259,24.0819441135531,46.8128302816817,NA,./Data/Raw/4539_20_S19_R1_001.fastq.gz,./Data/Raw/4539_20_S19_R2_001.fastq.gz,38.52388 N 111.75259 W
23,SUCCESSFUL,epi_a26,a26,epiphyte,38.52251,-111.75327,44.3972890360915,71.9199067223795,NA,./Data/Raw/4539_23_S22_R1_001.fastq.gz,./Data/Raw/4539_23_S22_R2_001.fastq.gz,38.52251 N 111.75327 W
24,SUCCESSFUL,epi_a5,a5,epiphyte,38.52876,-111.74717,52.8814159783465,139.267073060011,NA,./Data/Raw/4539_24_S23_R1_001.fastq.gz,./Data/Raw/4539_24_S23_R2_001.fastq.gz,38.52876 N 111.74717 W
25,SUCCESSFUL,end_a5,a5,endophyte,38.52876,-111.74717,52.8814159783465,139.267073060011,NA,./Data/Raw/4539_25_S24_R1_001.fastq.gz,./Data/Raw/4539_25_S24_R2_001.fastq.gz,38.52876 N 111.74717 W
26,SUCCESSFUL,end_a1,a1,endophyte,38.52928,-111.74569,1.34839380661979,230.707364710865,NA,./Data/Raw/4539_26_S25_R1_001.fastq.gz,./Data/Raw/4539_26_S25_R2_001.fastq.gz,38.52928 N 111.74569 W
27,SUCCESSFUL,end_j7,j7,endophyte,38.52549,-111.75053,180.672565472652,125.524742034472,NA,./Data/Raw/4539_27_S26_R1_001.fastq.gz,./Data/Raw/4539_27_S26_R2_001.fastq.gz,38.52549 N 111.75053 W
