"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"1",5,5,5,5,0
"10",74,57,56,56,0.243243243243243
"100",203407,193548,193480,193265,0.0498606242656349
"101",241686,232535,232425,231490,0.0421869698699966
"102",210582,202461,202304,201634,0.0424917609292342
"103",274191,262526,262325,260839,0.0486959819979503
"104",608346,579354,579297,579018,0.0482094071465909
"105",236533,225631,225526,224802,0.0495956166792794
"106",195105,184964,184816,183488,0.0595422977371159
"107",227508,217957,217876,216218,0.0496246285844893
"108",110,106,105,105,0.0454545454545455
"109",173467,165538,165452,164681,0.0506494030564891
"11",284,256,253,253,0.109154929577465
"110",261998,254501,254360,247761,0.0543401094664845
"111",565,536,533,533,0.0566371681415929
"112",313921,300139,299984,296859,0.0543512539779116
"113",214231,204618,204570,204188,0.0468793031820792
"114",257781,246101,245875,242987,0.057389799868881
"115",262212,249511,249229,247117,0.0575679221393376
"116",432962,412345,412018,410274,0.0524018274121055
"117",198104,189089,188807,187474,0.053658684327424
"118",7,7,6,6,0.142857142857143
"119",87,71,71,71,0.183908045977011
"12",54,41,40,40,0.259259259259259
"120",370181,354774,354401,331622,0.104162558316067
"121",233187,222652,222507,221877,0.0485018461578047
"122",184035,175675,175599,175341,0.0472410139375662
"123",237622,227487,227299,225392,0.0514682983898797
"124",312181,297010,296869,294810,0.0556440013966257
"126",163907,155823,155770,155420,0.0517793626873776
"127",352043,343414,343221,287273,0.183983206596921
"128",399628,380804,380589,379668,0.0499464501986848
"129",64,55,54,54,0.15625
"13",60,46,46,46,0.233333333333333
"130",266836,253396,253347,252957,0.0520132216042813
"131",76,68,67,67,0.118421052631579
"132",1516,1428,1425,1425,0.0600263852242744
"133",5357,5096,5095,5095,0.0489079708792234
"134",1819,1740,1722,1711,0.0593732820230896
"135",89,75,74,74,0.168539325842697
"136",327067,312410,312216,311392,0.0479259601243782
"137",229,176,173,173,0.244541484716157
"138",79,71,66,66,0.164556962025316
"139",71,64,63,63,0.112676056338028
"14",206,194,192,192,0.0679611650485437
"141",697,646,642,642,0.078909612625538
"142",255,236,234,234,0.0823529411764706
"143",111,71,69,69,0.378378378378378
"144",1602,1508,1503,1503,0.0617977528089888
"145",67,58,53,53,0.208955223880597
"146",324,293,290,290,0.104938271604938
"147",1294,1201,1201,1187,0.0826893353941267
"148",119,90,86,86,0.277310924369748
"149",1,1,1,1,0
"15",302764,289311,289068,286651,0.0532196694455087
"150",76,62,61,61,0.197368421052632
"151",536,499,495,495,0.0764925373134328
"152",67,57,55,55,0.17910447761194
"153",265,247,247,247,0.0679245283018868
"154",58,52,52,52,0.103448275862069
"156",76,67,66,66,0.131578947368421
"157",56,42,40,40,0.285714285714286
"158",68,63,62,62,0.0882352941176471
"159",89,85,84,84,0.0561797752808989
"16",308683,297466,297261,291742,0.0548815451450193
"160",147,115,113,108,0.26530612244898
"161",48,42,42,42,0.125
"162",649,600,599,599,0.0770416024653313
"163",92,71,67,67,0.271739130434783
"164",82,66,66,66,0.195121951219512
"165",163,148,148,148,0.0920245398773006
"166",81,65,65,65,0.197530864197531
"167",51,42,37,36,0.294117647058824
"168",115,85,84,71,0.382608695652174
"169",111171,106249,106095,105293,0.0528735011828624
"17",100,88,85,85,0.15
"170",207419,197509,197275,194868,0.0605103679026512
"172",332105,318781,318660,311593,0.0617635988618058
"173",178215,171055,171021,170162,0.0451869932385041
"175",121090,116252,116201,115874,0.0430753984639524
"176",241248,229825,229674,229009,0.0507320267940045
"177",280755,267670,267613,267029,0.0488896012537622
"178",2060,1964,1952,1948,0.054368932038835
"179",295667,283433,283256,276827,0.0637203340244261
"18",71,62,62,62,0.126760563380282
"180",72,68,66,66,0.0833333333333333
"181",357252,343293,342762,334989,0.0623173558160626
"19",612,577,577,577,0.0571895424836601
"2",565,367,364,357,0.368141592920354
"20",143,103,102,96,0.328671328671329
"21",89,79,76,76,0.146067415730337
"22",170,154,153,151,0.111764705882353
