"lat","lon","sample","elevation","elev_geometry","elev_units"
38.52785,-111.74683,"end_b1",2715.84,c(-111.74683, 38.52785),"meters"
38.52899,-111.74707,"end_a4",2726.54,c(-111.74707, 38.52899),"meters"
38.52337,-111.75168,"end_h5",2723.38,c(-111.75168, 38.52337),"meters"
38.5261,-111.75269,"end_j2",2776.61,c(-111.75269, 38.5261),"meters"
38.52282,-111.75266,"end_a25",2725.3,c(-111.75266, 38.52282),"meters"
38.52533,-111.7501,"epi_j8",2727.5,c(-111.7501, 38.52533),"meters"
38.52825,-111.74721,"epi_a7",2722.37,c(-111.74721, 38.52825),"meters"
38.52608,-111.74794,"end_d1",2710.85,c(-111.74794, 38.52608),"meters"
38.52161,-111.75378,"end_a29",2718.26,c(-111.75378, 38.52161),"meters"
38.52595,-111.7478,"end_d2",2708.31,c(-111.7478, 38.52595),"meters"
38.52538,-111.74939,"end_j10",2721.59,c(-111.74939, 38.52538),"meters"
38.52394,-111.75238,"end_h2",2734.6,c(-111.75238, 38.52394),"meters"
38.5255,-111.74918,"end_a17",2720.88,c(-111.74918, 38.5255),"meters"
38.5268,-111.74903,"epi_a13",2728.35,c(-111.74903, 38.5268),"meters"
38.52525,-111.74982,"epi_j9",2724.22,c(-111.74982, 38.52525),"meters"
38.52357,-111.75073,"end_f6",2717.59,c(-111.75073, 38.52357),"meters"
38.52653,-111.74684,"end_c4",2704.5,c(-111.74684, 38.52653),"meters"
38.52568,-111.75092,"end_j6",2742.6,c(-111.75092, 38.52568),"meters"
38.52388,-111.75259,"end_g5",2735.34,c(-111.75259, 38.52388),"meters"
38.52531,-111.74893,"end_j11",2716.43,c(-111.74893, 38.52531),"meters"
38.52285,-111.7495,"end_f2",2703.38,c(-111.7495, 38.52285),"meters"
38.52251,-111.75327,"epi_a26",2725.68,c(-111.75327, 38.52251),"meters"
38.52876,-111.74717,"epi_a5",2726.17,c(-111.74717, 38.52876),"meters"
38.52876,-111.74717,"end_a5",2726.17,c(-111.74717, 38.52876),"meters"
38.52928,-111.74569,"end_a1",2726.16,c(-111.74569, 38.52928),"meters"
