tree,sample,lat,lon,fenced,distance_from_edge,sample_type,plate,row,col,fwd_filepath,rev_filepath
NA,epi_blank_2,NA,NA,NA,NA,epiphyte,1,A,1,NA,NA
b1,end_b1,38.52785,-111.74683,no,NA,endophyte,1,B,1,NA,NA
a4,end_a4,38.52899,-111.74707,no,NA,endophyte,1,C,1,NA,NA
h5,end_h5,38.52337,-111.75168,yes,NA,endophyte,1,D,1,NA,NA
j2,end_j2,38.5261,-111.75269,yes,NA,endophyte,1,E,1,NA,NA
a25,end_a25,38.52282,-111.75266,no,NA,endophyte,1,F,1,NA,NA
j8,epi_j8,38.52533,-111.7501,yes,NA,epiphyte,1,G,1,NA,NA
a7,epi_a7,38.52825,-111.74721,no,NA,epiphyte,1,H,1,NA,NA
d1,end_d1,38.52608,-111.74794,yes,NA,endophyte,1,A,2,NA,NA
a29,end_a29,38.52161,-111.75378,no,NA,endophyte,1,B,2,NA,NA
d2,end_d2,38.52595,-111.7478,yes,NA,endophyte,1,C,2,NA,NA
j10,end_j10,38.52538,-111.74939,yes,NA,endophyte,1,D,2,NA,NA
h2,end_h2,38.52394,-111.75238,yes,NA,endophyte,1,E,2,NA,NA
a17,end_a17,38.5255,-111.74918,yes,NA,endophyte,1,F,2,NA,NA
a13,epi_a13,38.5268,-111.74903,yes,NA,epiphyte,1,G,2,NA,NA
j9,epi_j9,38.52525,-111.74982,yes,NA,epiphyte,1,H,2,NA,NA
f6,end_f6,38.52357,-111.75073,no,NA,endophyte,1,A,3,NA,NA
c4,end_c4,38.52653,-111.74684,yes,NA,endophyte,1,B,3,NA,NA
j6,end_j6,38.52568,-111.75092,yes,NA,endophyte,1,C,3,NA,NA
g5,end_g5,38.52388,-111.75259,yes,NA,endophyte,1,D,3,NA,NA
j11,end_j11,38.52531,-111.74893,yes,NA,endophyte,1,E,3,NA,NA
f2,end_f2,38.52285,-111.7495,no,NA,endophyte,1,F,3,NA,NA
a26,epi_a26,38.52251,-111.75327,no,NA,epiphyte,1,G,3,NA,NA
a5,epi_a5,38.52876,-111.74717,no,NA,epiphyte,1,H,3,NA,NA
a5,end_a5,38.52876,-111.74717,no,NA,endophyte,1,A,4,NA,NA
a1,end_a1,38.52928,-111.74569,no,NA,endophyte,1,B,4,NA,NA
j7,end_j7,38.52549,-111.75053,yes,NA,endophyte,1,C,4,NA,NA
f3,end_f3,38.52322,-111.74998,no,NA,endophyte,1,D,4,NA,NA
h6,end_h6,38.52331,-111.75155,no,NA,endophyte,1,E,4,NA,NA
k5,end_k5,38.52975,-111.74677,no,NA,endophyte,1,F,4,NA,NA
c5,end_c5,38.52682,-111.7472,yes,NA,endophyte,1,G,4,NA,NA
a6,epi_a6,38.52836,-111.74717,no,NA,epiphyte,1,H,4,NA,NA
k1,end_k1,38.52937,-111.74583,no,NA,endophyte,1,A,5,NA,NA
d4,end_d4,38.52588,-111.74762,yes,NA,endophyte,1,B,5,NA,NA
a26,end_a26,38.52251,-111.75327,no,NA,endophyte,1,C,5,NA,NA
j4,end_j4,38.52594,-111.75173,yes,NA,endophyte,1,D,5,NA,NA
b4,end_b4,38.52747,-111.74536,no,NA,endophyte,1,E,5,NA,NA
g1,end_g1,38.52312,-111.75191,yes,NA,endophyte,1,F,5,NA,NA
e4,end_e4,38.52377,-111.74941,yes,NA,endophyte,1,G,5,NA,NA
a19,epi_a19,38.52452,-111.75043,yes,NA,epiphyte,1,H,5,NA,NA
f1,end_f1,38.52244,-111.74895,no,NA,endophyte,1,A,6,NA,NA
a7,end_a7,38.52825,-111.74721,no,NA,endophyte,1,B,6,NA,NA
a14,end_a14,38.52655,-111.74905,yes,NA,endophyte,1,C,6,NA,NA
a23,end_a23,38.52351,-111.75195,yes,NA,endophyte,1,D,6,NA,NA
g2,end_g2,38.5232,-111.7522,yes,NA,endophyte,1,E,6,NA,NA
e3,epi_e3,38.52375,-111.74891,yes,NA,epiphyte,1,F,6,NA,NA
f3,epi_f3,38.52322,-111.74998,no,NA,epiphyte,1,G,6,NA,NA
h3,epi_h3,38.52377,-111.75209,yes,NA,epiphyte,1,H,6,NA,NA
a13,end_a13,38.5268,-111.74903,yes,NA,endophyte,1,A,7,NA,NA
g4,end_g4,38.52343,-111.75285,yes,NA,endophyte,1,B,7,NA,NA
i5,end_i5,38.52454,-111.75146,yes,NA,endophyte,1,C,7,NA,NA
a3,end_a3,38.52878,-111.74646,no,NA,endophyte,1,D,7,NA,NA
c3,end_c3,38.52663,-111.74642,yes,NA,endophyte,1,E,7,NA,NA
i3,epi_i3,38.52399,-111.75126,yes,NA,epiphyte,1,F,7,NA,NA
j6,epi_j6,38.52568,-111.75092,yes,NA,epiphyte,1,G,7,NA,NA
